[HIGHEST OVERHEAD]: Salary Expense, 33.46%
[PROFIT DEFICIT] DAY: 48, AMOUNT: 110014 USD
[PROFIT DEFICIT] DAY: 49, AMOUNT: 157220 USD
[PROFIT DEFICIT] DAY: 51, AMOUNT: 28601 USD
[PROFIT DEFICIT] DAY: 53, AMOUNT: 46397 USD
[PROFIT DEFICIT] DAY: 54, AMOUNT: 40827 USD
[PROFIT DEFICIT] DAY: 59, AMOUNT: 49418 USD
[PROFIT DEFICIT] DAY: 60, AMOUNT: 57431 USD
[PROFIT DEFICIT] DAY: 61, AMOUNT: 59552 USD
[PROFIT DEFICIT] DAY: 62, AMOUNT: 79771 USD
[PROFIT DEFICIT] DAY: 63, AMOUNT: 58016 USD
[PROFIT DEFICIT] DAY: 64, AMOUNT: 44879 USD
[PROFIT DEFICIT] DAY: 65, AMOUNT: 30804 USD
[PROFIT DEFICIT] DAY: 67, AMOUNT: 4291 USD
[PROFIT DEFICIT] DAY: 71, AMOUNT: 25920 USD
[PROFIT DEFICIT] DAY: 72, AMOUNT: 15303 USD
[PROFIT DEFICIT] DAY: 73, AMOUNT: 271333 USD
[PROFIT DEFICIT] DAY: 74, AMOUNT: 47920 USD
[PROFIT DEFICIT] DAY: 85, AMOUNT: 75986 USD


